date,title,address,url
"May 04, 2026",Hamsa Mediterranean Grill to Open Second Location,"2101 S Decatur Blvd, Las Vegas, NV 89102",https://whatnow.com/las-vegas/restaurants/hamsa-mediterranean-grill-to-open-second-location/
"May 04, 2026",Tacos Frontera to Open in the Marq-E Entertainment Center,"7620 Katy Fwy, Houston, TX 77024",https://whatnow.com/houston/restaurants/tacos-frontera-to-open-in-the-marq-e-entertainment-center/
"May 04, 2026",Crumbl Expanding To Edgewood Retail District This Summer | What Now Atlanta,"1250 Caroline St NE, Atlanta, GA 30307",https://whatnow.com/atlanta/restaurants/crumbl-expanding-to-edgewood-retail-district-this-summer/
"May 04, 2026",Pali’s Ice Cream Co. to Open in Northeast Philadelphia,"7302 Rising Sun Ave. Philadelphia, PA 19111",https://whatnow.com/philadelphia/restaurants/palis-ice-cream-company-to-open-brick-and-mortar-shop-in-northeast-philadelphia/
"May 04, 2026",New Coffee and Donut Concept in the Works for South Shore,"7104 S Jeffery Blvd, Chicago, IL 60649",https://whatnow.com/chicago/restaurants/new-coffee-and-donut-concept-in-the-works-for-south-shore/
"May 04, 2026","Breakside Brewery Reflects on Growth, Challenges, and Staying Power in Portland’s Beer Scene","1570 NW 22nd Ave, Portland, OR 97210, USA",https://whatnow.com/portland/restaurants/breakside-brewery-reflects-on-growth-challenges-and-staying-power-in-portlands-beer-scene/
"May 04, 2026",Soda Club to Open at Denver’s Ramble Hotel This Summer,"1260 25th St. Denver, CO 80202",https://whatnow.com/denver/restaurants/michelin-recognized-soda-club-to-debut-in-denvers-ramble-hotel-this-summer/
"May 04, 2026",A Popular Café in a Detroit Suburb Has Shut Down,"770 Woodward Heights, Ferndale, MI 48220",https://whatnow.com/detroit/restaurants/a-popular-cafe-in-a-detroit-suburb-has-shut-down/
"May 04, 2026",Cozy Italian Restaurant Coming to the East Village Location,"435 E 9th St, New York, NY 10009",https://whatnow.com/new-york/restaurants/cozy-italian-restaurant-coming-to-the-east-village-location/
"May 04, 2026",Call Your Mother Expands to Philly's Rittenhouse Square,"262 S 19th St., Philadelphia, PA 19103",https://whatnow.com/philadelphia/restaurants/call-your-mother-expands-to-rittenhouse-square-in-former-metropolitan-bakery-space/
"May 04, 2026",A 46-Year-Old Seafood Market Has Closed in in Dana Point Harbor,"34665 Golden Lantern, Dana Point, CA 92629, United States",https://whatnow.com/orange-county/restaurants/a-46-year-old-seafood-market-has-closed-in-in-dana-point-harbor/
"May 04, 2026",A Houston Neighborhood Restaurant Known for Loaded Fries Has Closed,"5322 Antoine Dr, Houston, TX 77091",https://whatnow.com/houston/restaurants/a-houston-neighborhood-restaurant-known-for-loaded-fries-has-closed/
"May 04, 2026",Dish’s Bagels and Other Atlanta Restaurant Openings We Uncovered Last Week (April 27-May 1),,https://whatnow.com/atlanta/restaurants/dishs-bagels-and-other-atlanta-restaurant-openings-we-uncovered-last-week-april-27-may-1/
"May 03, 2026",Burleson to Trade Tacos for Chicken,"205 NE Wilshire Blvd, Burleson, TX 76028",https://whatnow.com/dallas/restaurants/burleson-to-trade-tacos-for-chicken/
"May 03, 2026",Giordano’s Pizza to Help DC Greet the Heat,"600 14th St NW, Washington, DC 20005",https://whatnow.com/washington-dc/restaurants/giordanos-pizza-to-help-dc-greet-the-heat/
"May 03, 2026",Latest from TEKILA Group Nears Opening,"181 Norfleet Dr, Senatobia, MS 38668",https://whatnow.com/memphis/restaurants/latest-from-tekila-group-nears-opening/
"May 03, 2026",Playa Bowls Sets Grand Opening for Collierville Location,"1335 W Poplar Ave, Collierville, TN 38017",https://whatnow.com/memphis/restaurants/playa-bowls-sets-grand-opening-for-collierville-location/
"May 03, 2026",Ritual Bistro Brewing up May Opening,"505 S Main St, Memphis, TN 38103",https://whatnow.com/memphis/restaurants/ritual-bistro-brewing-up-may-opening/
"May 03, 2026",Cafe Momentum Bringing Good Food and Social Justice to New Flagship Location,"3001 Greenwood St, Dallas, TX 75204",https://whatnow.com/dallas/restaurants/cafe-momentum-bringing-good-food-and-social-justice-to-new-flagship-location/
"May 03, 2026",Murphy’s Law Brewery & Pizza Readying Burleson Debut,"309 W Hidden Creek Pkwy, Burleson, TX 76028",https://whatnow.com/dallas/restaurants/murphys-law-brewery-pizza-readying-burleson-debut/
"May 02, 2026",Cooper’s Hawk Winery and Restaurant Preparing for Woodbridge Opening,"14901 Potomac Town Pl, Woodbridge, VA 22191",https://whatnow.com/washington-dc/restaurants/coopers-hawk-winery-and-restaurant-preparing-for-woodbridge-opening/
"May 02, 2026",Kirby Ice House Hoping to Establish Irving Presence,"1251 W Royal Ln, Irving, TX 75039",https://whatnow.com/dallas/restaurants/kirby-ice-house-hoping-to-establish-irving-presence/
"May 02, 2026",Angelo’s Pizza Pasta and Deli Heading to Gaithersburg,"18251 Flower Hill Way, Gaithersburg, MD 20879",https://whatnow.com/washington-dc/restaurants/angelos-pizza-pasta-and-deli-heading-to-gaithersburg/
"May 02, 2026",Café Monet to Prove Great Dining is an Art,"6910 Fleetwood Rd, McLean, VA 22101",https://whatnow.com/washington-dc/restaurants/cafe-monet-to-prove-great-dining-is-an-art/
"May 02, 2026",Chef-Driven Ramen Shop Coming to the East Village,"218 E 10th St, New York, NY 10003",https://whatnow.com/new-york/restaurants/chef-driven-ramen-shop-coming-to-the-east-village/
"May 01, 2026","Matices Bringing ""Ingredient-Driven"" Dining Experience to Truckee This Spring","10164 Donner Pass Rd, Suites 2 & 3, Truckee, CA 96161",https://whatnow.com/sacramento/restaurants/matices-bringing-ingredient-driven-dining-experience-to-truckee-this-spring/
"May 01, 2026",Buddha Bowls & Rolls to Take Over Former Chando's Tacos Space in East Sacramento,"5644 J St, Sacramento, CA 95819",https://whatnow.com/sacramento/restaurants/buddha-bowls-rolls-to-take-over-former-chandos-tacos-space-in-east-sacramento/
"May 01, 2026",Evolution Nightclub Set to Transform Former Chando’s Cantina Space in Downtown Sacramento,"805 15th St, Sacramento, CA 95814",https://whatnow.com/sacramento/restaurants/evolution-nightclub-set-to-transform-former-chandos-cantina-space-in-downtown-sacramento/
"May 01, 2026",Otori Sushi Plans Second Location for Late Summer,"40101 Monterey Ave, Rancho Mirage, CA 92270",https://whatnow.com/orange-county/restaurants/otori-sushi-plans-second-location-for-late-summer/
"May 01, 2026",New Café Concept Evolving in Loehmann’s Plaza,"2543 Fair Oaks Blvd, Sacramento, CA 95825",https://whatnow.com/sacramento/restaurants/new-cafe-concept-evolving-in-loehmanns-plaza/
"May 01, 2026",Sip Fresh expands to Orange County,"20 City Blvd W, Orange, CA",https://whatnow.com/orange-county/restaurants/sip-fresh-expands-to-orange-county/
"May 01, 2026",Far Cry Opening in the Former Bad Habit Room Space,"5433 N Michigan Ave, Portland, OR 97217",https://whatnow.com/portland/restaurants/far-cry-opening-in-the-former-bad-habit-room-space/
"May 01, 2026",Bluto’s Working to Reopen Beaverton Location This Summer,"12555 SW 1st St, Beaverton, OR 97005",https://whatnow.com/portland/restaurants/blutos-working-to-reopen-beaverton-location-this-summer/
"May 01, 2026",The Way West Opening at Jackstraw This Summer,"310 SW Industrial Way, Bend, OR 97702",https://whatnow.com/portland/restaurants/the-way-west-opening-at-jackstraw-this-summer/
"May 01, 2026",Harmonies Pizza and Ice Cream Replacing Gracie’s Apizza,"7304 N Leavitt Ave, Portland, OR 97203",https://whatnow.com/portland/restaurants/harmonies-pizza-and-ice-cream-replacing-gracies-apizza/
"May 01, 2026",Chilly Philly Ice & Bites to Bring Cool Treats to the Valley,"5560 E Lake Mead Blvd, Las Vegas, NV 89156",https://whatnow.com/las-vegas/restaurants/chilly-philly-ice-bites-to-bring-cool-treats-to-the-valley/
"May 01, 2026",Straightaway Cocktails Opening Full Cocktail Lounge at PDX This June,"7000 NE Airport Way, Portland, OR 97218",https://whatnow.com/portland/restaurants/straightaway-cocktails-opening-full-cocktail-lounge-at-pdx-this-june/
"May 01, 2026",Kawa Bringing European Café Charm to Boston's South End,"655 Tremont St, Boston, MA 02118",https://whatnow.com/boston/restaurants/kawa-bringing-european-cafe-charm-to-bostons-south-end/
"May 01, 2026",Cosa Nostra Italian Deli Plans Winter Garden Opening,"32 W Plant St, Winter Garden, FL 34787",https://whatnow.com/orlando/restaurants/cosa-nostra-italian-deli-plans-winter-garden-opening/
"May 01, 2026",New Eggdose Planned on West Colonial Drive in Winter Garden,"12615 W Colonial Dr, Winter Garden, FL 34787",https://whatnow.com/orlando/restaurants/new-eggdose-planned-on-west-colonial-drive-in-winter-garden/
"May 01, 2026",Phinista Cafe Bringing Vietnamese-French Fusion Fare to Packard's Corner,"1092 Commonwealth Ave, Boston, MA 02134",https://whatnow.com/boston/restaurants/phinista-cafe-bringing-vietnamese-french-fusion-fare-to-packards-corner/
"May 01, 2026",4 Rivers Smokehouse Opening in Orlando International Airport,"9102 Jeff Fuqua Blvd #1521, Orlando, FL 32827",https://whatnow.com/orlando/restaurants/4-rivers-smokehouse-opening-in-orlando-international-airport/
"May 01, 2026",M Shack Plans Expansion to Second Location,,https://whatnow.com/jacksonville/restaurants/m-shack-plans-expansion-to-second-location/
"May 01, 2026",The Abigaile Opening in Auburndale,"117 E Lake Ave, Auburndale, FL 33823",https://whatnow.com/tampa/restaurants/the-abigaile-opening-in-auburndale/
"May 01, 2026","Obon Bringing Ramen, Sushi and Cocktails to PV in North Phoenix","4568 E Cactus Rd, Phoenix, AZ 85032",https://whatnow.com/phoenix/restaurants/obon-bringing-ramen-sushi-and-cocktails-to-pv-in-north-phoenix/
"May 01, 2026",Faraway Joe’s Looks to Be Opening in Tarpon Springs,"320 E Tarpon Ave, Tarpon Springs, FL 34689",https://whatnow.com/tampa/restaurants/faraway-joes-looks-to-be-opening-in-tarpon-springs/
"May 01, 2026",Experience Social Bringing Large-Scale Pinball and Arcade Venue to Ottawa,"250 Greenbank Rd, Nepean, ON K2H 8P6, Canada",https://whatnow.com/montreal/restaurants/experience-social-bringing-large-scale-pinball-and-arcade-venue-to-ottawa/
"May 01, 2026",Pickled Pig Kitchen & Bar Expanding to Garson,"3098 Falconbridge Hwy #2, Garson, ON P3L 1J4, Canada",https://whatnow.com/toronto/restaurants/pickled-pig-kitchen-bar-expanding-to-garson/
"May 01, 2026",Fat Rabbit Expanding Existing Site in St. Catharines,"34 Geneva St, St. Catharines, ON L2R 4M4, Canada",https://whatnow.com/toronto/restaurants/fat-rabbit-expanding-existing-site-in-st-catharines/
"May 01, 2026",Owners of Two Lansing-Area Food Trucks Debuting Brick-and-Mortar in Okemos,"2398 Jolly Rd, Okemos, MI 48864",https://whatnow.com/detroit/restaurants/owners-of-two-lansing-area-food-trucks-debuting-brick-and-mortar-in-okemos/
"May 01, 2026",Kusi Opening First Permanent Home in Chinatown,"77 Grange Ave, Toronto, ON M5T 1E2, Canada",https://whatnow.com/toronto/restaurants/kusi-opening-first-permanent-home-in-chinatown/
"May 01, 2026",Better Buzz Coffee Interested in Expanding in Vista,"1650 S Melrose Dr, Vista, CA 92081",https://whatnow.com/san-diego/restaurants/better-buzz-coffee-interested-in-expanding-in-vista/
"May 01, 2026",New Restaurant Concept Quietly Taking Shape in Downtown Truckee,"11197 Brockway Rd, Suites D1-D4, Truckee, CA 96161",https://whatnow.com/sacramento/restaurants/new-restaurant-concept-quietly-taking-shape-in-downtown-truckee/
