state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,04/20/2020,Hilton Garden Inn-Willowbrook,Harris,Gulf Coast WDA,44.0,04/16/2020,04/20/2020,Houston
Texas,,,,,,,,04/20/2020,Haliburton Energy Services-Monahans,Ward,Permian Basin WDA,15.0,04/20/2020,04/22/2020,Monahans
Texas,,,,,,,,04/20/2020,"Applied Aerodynamics, Inc.",Dallas,Dallas County WDA,25.0,04/20/2020,04/28/2020,Dallas
Texas,,,,,,,,04/20/2020,US Silica-Lamesa,Dawson,Permian Basin WDA,49.0,04/17/2020,05/01/2020,Lamesa
Texas,,,,,,,,04/17/2020,ProPetro-Coil Tubing Operations,Midland,Permian Basin WDA,18.0,04/16/2020,04/21/2020,Midland
Texas,,,,,,,,04/17/2020,Capital Sand Permian,Ward,Permian Basin WDA,36.0,04/20/2020,04/30/2020,Monahans
Texas,,,,,,,,04/17/2020,National Oilwell - Pampa,Gray,Panhandle WDA,91.0,04/17/2020,04/27/2020,Pampa
Texas,,,,,,,,04/16/2020,Pappas Bar-B-Q 11,Montgomery,Gulf Coast WDA,29.0,03/16/2020,04/16/2020,Conroe
Texas,,,,,,,,04/16/2020,Discovery Natural Resources,Irion,Concho Valley WDA,36.0,04/16/2020,04/30/2020,Barnhart
Texas,,,,,,,,04/16/2020,Vroom-Meadows Place,Fort Bend,Gulf Coast WDA,136.0,05/03/2020,04/27/2020,Sugar Land
Texas,,,,,,,,04/16/2020,Discovery Natual Resources- Ozona,Crockett,Concho Valley WDA,4.0,04/16/2020,04/30/2020,Ozona
Texas,,,,,,,,04/16/2020,ProPetro-Hydraulic Fracturing,Matagorda,Permian Basin WDA,566.0,04/16/2020,04/21/2020,Midfield
Texas,,,,,,,,04/16/2020,"Black Mountain Management, LLC",Tarrant,Middle Rio Grande WDA,87.0,05/01/2020,04/21/2020,Ft. Worth
Texas,,,,,,,,04/16/2020,Electro Rent,Denton,North Central Texas WDA,7.0,04/16/2020,04/28/2020,Roanoke
Texas,,,,,,,,04/15/2020,Chalk Montain Services of Texas LLC - Pleasanton,Atascosa,Alamo WDA,14.0,04/15/2020,05/01/2020,Pleasanton
Texas,,,,,,,,04/15/2020,CalFrac Well Services,Bexar,Alamo WDA,134.0,04/15/2020,04/24/2020,San Antonio
Texas,,,,,,,,04/15/2020,Ahern Rentals,Ector,Permian Basin WDA,3.0,03/30/2020,04/16/2020,Odessa
Texas,,,,,,,,04/15/2020,Baker Hughes-Houston,Harris,Gulf Coast WDA,184.0,06/15/2020,04/22/2020,Houston
Texas,,,,,,,,04/15/2020,Shawcor Pipe Protection,Brazoria,Gulf Coast WDA,65.0,05/04/2020,04/21/2020,Pearland
Texas,,,,,,,,04/15/2020,Diamond Offshore Drilling Corporate,Harris,Gulf Coast WDA,102.0,04/15/2020,04/15/2020,Houston
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - Onyx Dr,Midland,Permian Basin WDA,60.0,03/19/2020,04/22/2020,Midland
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - FM 1788,Midland,Permian Basin WDA,133.0,01/17/2020,04/22/2020,Midland
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - E IH 20,Midland,Permian Basin WDA,58.0,03/19/2020,04/22/2020,Midland
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - Pecos,Reeves,Permian Basin WDA,49.0,03/20/2020,04/22/2020,Pecos
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - Odessa,Ector,Permian Basin WDA,197.0,02/10/2020,04/22/2020,Odessa
Texas,,,,,,,,04/14/2020,Paul Martin's American Grill,Travis,Capital Area WDA,81.0,04/07/2020,04/22/2020,Austin
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc. - Westpark Dr.,Fort Bend,Gulf Coast WDA,85.0,03/19/2020,04/22/2020,Houston
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc.- Rogerdale,Fort Bend,Gulf Coast WDA,196.0,01/07/2020,04/22/2020,Houston
Texas,,,,,,,,04/14/2020,Titan Production Equipment-Alleyton,Colorado,Gulf Coast WDA,56.0,04/10/2020,04/29/2020,Alleyton
Texas,,,,,,,,04/14/2020,"Titan Production Equipment, LLC",Montgomery,Gulf Coast WDA,10.0,04/10/2020,04/29/2020,Woodlands
Texas,,,,,,,,04/14/2020,NexTier Completion Solutions Inc.,Atascosa,Alamo WDA,64.0,03/24/2020,04/22/2020,Pleasanton
Texas,,,,,,,,04/14/2020,Pappasito's 04,Harris,Gulf Coast WDA,142.0,03/16/2020,04/14/2020,Webster
Texas,,,,,,,,04/14/2020,FTS International Services-Longview,Gregg,East Texas WDA,58.0,04/14/2020,04/21/2020,Longview
Texas,,,,,,,,04/14/2020,"Sun Coast Resources, Inc.",Midland,Permian Basin WDA,50.0,04/10/2020,04/15/2020,Midland
Texas,,,,,,,,04/14/2020,Vroom-Houston,Harris,Permian Basin WDA,36.0,05/03/2020,04/27/2020,Houston
Texas,,,,,,,,04/14/2020,Vroom-Stafford,Harris,Gulf Coast WDA,59.0,05/03/2020,04/27/2020,Stafford
Texas,,,,,,,,04/14/2020,Pier 1 Imports - Tarrant,Tarrant,Tarrant County WDA,585.0,06/01/2020,04/21/2020,Ft. Worth
Texas,,,,,,,,04/14/2020,Pier 1 Imports-Mansfield,Tarrant,Tarrant County WDA,67.0,06/01/2020,04/21/2020,Mansfield
Texas,,,,,,,,04/14/2020,Signal Peak Silica,Ward,Permian Basin WDA,37.0,04/14/2020,04/24/2020,Monahans
Texas,,,,,,,,04/13/2020,Signing Day One-D1 Training,Kendall,Alamo WDA,3.0,04/09/2020,05/01/2020,Boerne
Texas,,,,,,,,04/13/2020,At Home Corporate,Collin,North Central Texas WDA,147.0,04/11/2020,04/24/2020,Plano
Texas,,,,,,,,04/13/2020,Take 5 Department 199,Bexar,Alamo WDA,7.0,03/22/2020,04/13/2020,San Antonio
Texas,,,,,,,,04/13/2020,US Silica-Sandbox Logistics,Midland,Permian Basin WDA,105.0,04/16/2020,04/22/2020,Midland
Texas,,,,,,,,04/13/2020,Take 5 Department 179,Bexar,Alamo WDA,11.0,03/22/2020,04/13/2020,San Antonio
Texas,,,,,,,,04/13/2020,Beyond Finance,Harris,Gulf Coast WDA,302.0,04/19/2020,04/21/2020,Houston
Texas,,,,,,,,04/13/2020,America's Auto Auction Texas,Hays,Rural Capital WDA,1.0,03/17/2020,04/13/2020,Buda
Texas,,,,,,,,04/13/2020,Guess?,Webb,South Texas WDA,30.0,04/02/2020,04/15/2020,Laredo
Texas,,,,,,,,04/13/2020,Covia-Kermit,Winkler,Permian Basin WDA,82.0,04/13/2020,04/21/2020,Kermit
Texas,,,,,,,,04/13/2020,Dog and Pony Grill,Kendall,Alamo WDA,29.0,04/09/2020,05/01/2020,Boerne
Texas,,,,,,,,04/13/2020,Alamo Drafthouse-Corpus Christi,Nueces,Coastal Bend WDA,128.0,03/17/2020,05/01/2020,Corpus Ch
Texas,,,,,,,,04/13/2020,Alamo Drafthouse-Laredo,Webb,South Texas WDA,112.0,03/17/2020,05/01/2020,Laredo
Texas,,,,,,,,04/13/2020,Allied Aviation Fueling Co,Bexar,Alamo WDA,6.0,05/13/2020,05/04/2020,San Antonio
Texas,,,,,,,,04/13/2020,Yazaki North America,El Paso,Borderplexjobs WDA,83.0,04/13/2020,04/13/2020,El Paso
Texas,,,,,,,,04/13/2020,MCD Innovations,Collin,North Central Texas WDA,25.0,03/26/2020,04/22/2020,McKinney
Texas,,,,,,,,04/13/2020,Pappadeaux Seafood Kitchen 33,Harris,Gulf Coast WDA,120.0,03/16/2020,04/13/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - I35 South,Bexar,Alamo WDA,40.0,03/17/2020,04/21/2020,San Antonio
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse -  College Station,Brazos,Brazos Valley WDA,28.0,03/17/2020,04/21/2020,College Station
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Conroe,Montgomery,Gulf Coast WDA,51.0,03/17/2020,04/21/2020,Conroe
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse.,Bexar,Alamo WDA,45.0,03/17/2020,04/21/2020,San Antonio
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Spring,Harris,Gulf Coast WDA,41.0,03/14/2020,04/21/2020,Spring
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Leon Springs,Bexar,Alamo WDA,38.0,03/17/2020,04/21/2020,Leon Springs
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - New Braunfels,Comal,Alamo WDA,45.0,03/17/2020,04/21/2020,New Braunfels
Texas,,,,,,,,04/10/2020,Willie's Grill &  Icehouse - North Loop,Bexar,Alamo WDA,35.0,03/17/2020,04/21/2020,San Antonio
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse,Bexar,Alamo WDA,32.0,03/17/2020,04/21/2020,San Antonio
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Katy Fwy,Fort Bend,Gulf Coast WDA,40.0,03/17/2020,04/21/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Cypress,Harris,Gulf Coast WDA,51.0,03/17/2020,04/21/2020,Cypress
Texas,,,,,,,,04/10/2020,Pacific Drilling - Pacific Sharav,Fort Bend,Gulf Coast WDA,82.0,04/13/2020,04/13/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Georgetown,Williamson,Rural Capital WDA,69.0,03/17/2020,04/21/2020,Georgetown
Texas,,,,,,,,04/10/2020,Hilton Garden Inn - Dallas Market Center,Dallas,Dallas County WDA,61.0,03/16/2020,04/10/2020,Dallas
Texas,,,,,,,,04/10/2020,"Yazaki North America dba Elcom, Inc.",El Paso,Borderplexjobs WDA,43.0,04/13/2020,04/13/2020,El Paso
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Hwy 6 N,Fort Bend,Gulf Coast WDA,77.0,03/17/2020,04/21/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - 1960 RD,Fort Bend,Gulf Coast WDA,29.0,03/17/2020,04/21/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - NW FWY,Fort Bend,Gulf Coast WDA,35.0,03/17/2020,04/21/2020,Houston
Texas,,,,,,,,04/10/2020,NexTier Completion Solutions Inc. - San Angelo,Tom Green,Concho Valley WDA,53.0,03/19/2020,04/22/2020,San Angelo
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - Sugar Land,Fort Bend,Gulf Coast WDA,37.0,03/17/2020,04/21/2020,Sugar Land
Texas,,,,,,,,04/10/2020,Avis Budget Car Rental-Airport Blvd,Harris,Gulf Coast WDA,47.0,03/13/2020,04/29/2020,Houston
Texas,,,,,,,,04/10/2020,Willie's Grill & Icehouse - HWY 249,Fort Bend,Gulf Coast WDA,39.0,03/17/2020,04/21/2020,Houston
Texas,,,,,,,,04/09/2020,Turner Industries-Corpus Christi,Nueces,Coastal Bend WDA,40.0,06/11/2020,04/21/2020,Corpus Ch
Texas,,,,,,,,04/09/2020,Universal Pressure Pumping,Midland,Permian Basin WDA,70.0,04/09/2020,04/13/2020,Midland
Texas,,,,,,,,04/09/2020,Black Bear Diner-Sugarland,Fort Bend,Gulf Coast WDA,46.0,05/07/2020,04/24/2020,Sugarland
Texas,,,,,,,,04/09/2020,Black Bear Diner-Shenandoah,Montgomery,Gulf Coast WDA,71.0,05/07/2020,04/21/2020,Shenandoah
Texas,,,,,,,,04/09/2020,Black Bear Diner-Katy,Fort Bend,Gulf Coast WDA,47.0,05/07/2020,04/24/2020,Katy
Texas,,,,,,,,04/09/2020,Black Bear Diner-Humble,Harris,Gulf Coast WDA,56.0,05/07/2020,04/24/2020,Humble
Texas,,,,,,,,04/09/2020,Black Bear Diner-15720 N Frwy,Harris,Gulf Coast WDA,42.0,05/07/2020,04/24/2020,Houston
Texas,,,,,,,,04/09/2020,Black Bear Diner-19823 NW Frwy,Harris,Gulf Coast WDA,2.0,05/07/2020,04/24/2020,Houston
Texas,,,,,,,,04/09/2020,Embassy Suites-Dallas Love Field,Dallas,Dallas County WDA,58.0,03/09/2020,04/10/2020,Dallas
Texas,,,,,,,,04/09/2020,InterContinental Houston Medical Center,Fort Bend,Gulf Coast WDA,75.0,04/09/2020,04/13/2020,Houston
Texas,,,,,,,,04/09/2020,Gristmill River Restaurant and Bar,Comal,Alamo WDA,305.0,03/19/2020,04/10/2020,New Braunfels
Texas,,,,,,,,04/09/2020,Step Energy Services,Midland,Permian Basin WDA,76.0,04/16/2020,04/10/2020,Midland
Texas,,,,,,,,04/09/2020,Capital Sand Permian,Ward,Permian Basin WDA,50.0,04/07/2020,04/10/2020,Monahans
Texas,,,,,,,,04/09/2020,VSPOne Dallas,Denton,North Central Texas WDA,133.0,04/10/2020,04/21/2020,Lewisville
Texas,,,,,,,,04/08/2020,Medieval Times,Dallas,Dallas County WDA,190.0,03/12/2020,04/15/2020,Dallas
Texas,,,,,,,,04/08/2020,Prospect Airport Services-DFW Airport,Tarrant,Tarrant County WDA,201.0,03/20/2020,04/29/2020,DFW Airport
Texas,,,,,,,,04/07/2020,North American Dental Group,Collin,North Central Texas WDA,12.0,03/23/2020,04/24/2020,Allen
Texas,,,,,,,,04/07/2020,Universal Pressure Pumping-Pearsall,Frio,Tarrant County WDA,200.0,04/07/2020,04/14/2020,Pearsall
Texas,,,,,,,,04/07/2020,North American Dental - Roanoke,Denton,North Central Texas WDA,8.0,03/23/2020,04/24/2020,Roanoke
Texas,,,,,,,,04/07/2020,North American Dental - Tyler,Smith,East Texas WDA,32.0,03/23/2020,04/24/2020,Tyler
Texas,,,,,,,,04/07/2020,"Huhtamaki, Inc.",Lamar,North East Texas WDA,60.0,04/07/2020,04/10/2020,Paris
Texas,,,,,,,,04/07/2020,Halliburton-Elmendorf,Bexar,Alamo WDA,384.0,04/07/2020,04/07/2020,Elmendorf
Texas,,,,,,,,04/07/2020,Leggette & Pratt Inc.,Ellis,North Central Texas WDA,192.0,04/05/2020,04/13/2020,Ennis
Texas,,,,,,,,04/07/2020,El Gallo-,Harris,Gulf Coast WDA,9.0,03/31/2020,04/07/2020,Houston
Texas,,,,,,,,04/07/2020,Epic Piping LLC,Hays,Rural Capital WDA,73.0,04/07/2020,04/21/2020,San Marcos
Texas,,,,,,,,04/07/2020,Avianca-Houston,Harris,Gulf Coast WDA,1.0,04/01/2020,04/28/2020,Houston
Texas,,,,,,,,04/07/2020,Avianca-DFW Airport,Dallas,Dallas County WDA,1.0,04/01/2020,04/28/2020,DFW Airport
Texas,,,,,,,,04/07/2020,Frontier Enterp;rise,Bexar,Alamo WDA,1000.0,04/07/2020,04/07/2020,San Antonio
Texas,,,,,,,,04/07/2020,YMCA-San Antonio,Bexar,Alamo WDA,1679.0,03/18/2020,04/07/2020,San Antonio
Texas,,,,,,,,04/07/2020,"Exeter Finance, LLC",Dallas,Dallas County WDA,29.0,04/07/2020,04/21/2020,Irving
Texas,,,,,,,,04/07/2020,ProPetro-Cement Operations Facility,Midland,Permian Basin WDA,39.0,04/07/2020,04/10/2020,Midland
Texas,,,,,,,,04/06/2020,Haliburton Energy Services-Brownfield,Terry,South Plains WDA,41.0,04/06/2020,04/06/2020,Brownfield
Texas,,,,,,,,04/06/2020,Questo Beso,Dallas,Dallas County WDA,42.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Scholastic Book Faris-Houston,Harris,Gulf Coast WDA,86.0,04/23/2020,04/28/2020,Houston
Texas,,,,,,,,04/06/2020,Haliburton Energy Services-Odessa,Ector,Permian Basin WDA,237.0,04/06/2020,04/06/2020,Odessa
Texas,,,,,,,,04/06/2020,Traffic Los Angeles--Joule Hotel,Dallas,Dallas County WDA,4.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Forty Five Ten,Dallas,Dallas County WDA,10.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Scholastic Book Fairs-Waco,McLennan,Heart of Texas WDA,43.0,03/20/2020,04/28/2020,Waco
Texas,,,,,,,,04/06/2020,Tango Room,Dallas,Dallas County WDA,2.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,"Wheelhouse, Sassetta",Dallas,Dallas County WDA,82.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,The Porch,Dallas,Dallas County WDA,69.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,The Joule Hotel,Dallas,Dallas County WDA,432.0,03/19/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Forty Five Ten-Highland Park,Dallas,Dallas County WDA,34.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Benihana-Plano,Collin,North Central Texas WDA,56.0,03/18/2020,04/13/2020,Plano
Texas,,,,,,,,04/06/2020,"Vallourec Sta, LP",Harris,Gulf Coast WDA,144.0,05/09/2020,05/01/2020,Houston
Texas,,,,,,,,04/06/2020,The Commisary,Dallas,Dallas County WDA,19.0,03/16/2020,04/13/2020,Dallas
Texas,,,,,,,,04/06/2020,Scholastic Book Fairs-Arlington,Tarrant,Tarrant County WDA,85.0,03/24/2020,04/28/2020,Arlington
Texas,,,,,,,,04/06/2020,Paul Martin's-Dallas,Dallas,Dallas County WDA,57.0,04/07/2020,04/22/2020,Dallas
Texas,,,,,,,,04/05/2020,Ra Sushi-Austin,Travis,Capital Area WDA,55.0,03/17/2020,04/13/2020,Austin
Texas,,,,,,,,04/05/2020,Ra Sushi-Southlake,Tarrant,Tarrant County WDA,33.0,03/18/2020,04/13/2020,Southlake
Texas,,,,,,,,04/05/2020,Benihana Las Colinas,Dallas,Dallas County WDA,53.0,03/17/2020,04/08/2020,Irving
Texas,,,,,,,,04/05/2020,Benihana Dallas,Dallas,Dallas County WDA,72.0,03/17/2020,04/08/2020,Dallas
Texas,,,,,,,,04/05/2020,Ra Sushi-Houston,Harris,Gulf Coast WDA,67.0,03/17/2020,04/13/2020,Houston
Texas,,,,,,,,04/05/2020,Benihana-The Woodlands,Montgomery,Gulf Coast WDA,38.0,03/19/2020,04/13/2020,The Woodlands
Texas,,,,,,,,04/05/2020,Benihana-Westhiemer,Harris,Gulf Coast WDA,52.0,03/17/2020,04/13/2020,Houston
Texas,,,,,,,,04/05/2020,Ra Sushi-Plano,Collin,North Central Texas WDA,44.0,03/18/2020,04/13/2020,Plano
Texas,,,,,,,,04/05/2020,Benihana-Houston,Harris,Gulf Coast WDA,41.0,03/17/2020,04/13/2020,Houston
Texas,,,,,,,,04/05/2020,Benihana-Sugarland,Fort Bend,Gulf Coast WDA,41.0,03/17/2020,04/13/2020,Sugar Land
Texas,,,,,,,,04/04/2020,Justin Brands-W. Daggett,Tarrant,Tarrant County WDA,121.0,04/05/2020,04/22/2020,Ft. Worth
Texas,,,,,,,,04/03/2020,David McDavid Acura,Travis,Capital Area WDA,13.0,04/03/2020,04/22/2020,Austin
Texas,,,,,,,,04/03/2020,David McDavid Acura-Plano,Collin,North Central Texas WDA,42.0,04/03/2020,04/22/2020,Plano
Texas,,,,,,,,04/03/2020,David McDavid- Lincoln,Collin,North Central Texas WDA,27.0,04/03/2020,04/22/2020,Plano
Texas,,,,,,,,04/03/2020,JW Marriott Austin,Travis,Capital Area WDA,166.0,04/10/2020,04/14/2020,Austin
Texas,,,,,,,,04/03/2020,National Credit Services,Dallas,Dallas County WDA,141.0,04/03/2020,04/07/2020,Dallas
Texas,,,,,,,,04/03/2020,David McDavid- Ford,Tarrant,Tarrant County WDA,50.0,04/03/2020,04/22/2020,Ft. Worth
Texas,,,,,,,,04/03/2020,David McDavid- Honda,Dallas,Dallas County WDA,50.0,04/03/2020,04/22/2020,Irving
Texas,,,,,,,,04/03/2020,South Texas Eye Institute,Bexar,Alamo WDA,21.0,03/23/2020,04/21/2020,San Antonio
Texas,,,,,,,,04/03/2020,US Silica-Crane Facility,Crane,Permian Basin WDA,71.0,05/21/2020,04/22/2020,Crane
Texas,,,,,,,,04/03/2020,David McDavid Honda-Frisco,Collin,North Central Texas WDA,67.0,04/03/2020,04/22/2020,Frisco
Texas,,,,,,,,04/03/2020,"Roquemore Holdings, LLC",Dallas,Dallas County WDA,37.0,04/03/2020,04/08/2020,Garland
Texas,,,,,,,,04/03/2020,Global Investigative Services,Dallas,Dallas County WDA,11.0,04/03/2020,04/08/2020,Garland
Texas,,,,,,,,04/03/2020,Turner Industries-Pasadena,Harris,Gulf Coast WDA,105.0,06/05/2020,04/08/2020,Pasadena
Texas,,,,,,,,04/02/2020,Kinsel Ford-Toyota,Jefferson,South East Texas WDA,8.0,04/02/2020,04/22/2020,Beaumont
Texas,,,,,,,,04/02/2020,Martin-Brower Co. LLC,Montgomery,Gulf Coast WDA,44.0,04/02/2020,04/15/2020,Conroe
Texas,,,,,,,,04/02/2020,Tandy Leather Co.,Tarrant,Tarrant County WDA,14.0,04/01/2020,04/14/2020,Ft. Worth
Texas,,,,,,,,04/02/2020,"UTLX Manufacturing, Inc.",Harris,Gulf Coast WDA,81.0,06/01/2020,04/13/2020,Houston
Texas,,,,,,,,04/02/2020,Turner Industries,Lamar,North East Texas WDA,500.0,06/05/2020,04/08/2020,Paris
Texas,,,,,,,,04/02/2020,"Watson & Chalin Manufacturing, Inc. - McKinney",Collin,North Central Texas WDA,103.0,04/03/2020,04/21/2020,McKinney
Texas,,,,,,,,04/02/2020,Pioneer Frozen Foods,Dallas,Dallas County WDA,90.0,03/27/2020,04/06/2020,Duncanville
Texas,,,,,,,,04/02/2020,Palmer of Texas,Andrews,Permian Basin WDA,50.0,04/01/2020,04/06/2020,Andrews
Texas,,,,,,,,04/02/2020,Fairfield Inn & Suites Dallas,Dallas,Dallas County WDA,56.0,03/25/2020,04/14/2020,Dallas
Texas,,,,,,,,04/02/2020,"Kinsel Ford, Inc.",Jefferson,South East Texas WDA,19.0,04/02/2020,04/22/2020,Beaumont
Texas,,,,,,,,04/01/2020,Avis Car Rental,Dallas,Dallas County WDA,901.0,03/13/2020,05/01/2020,Dallas
Texas,,,,,,,,04/01/2020,Avis Car Rental-3937 26th Ave,Dallas,Dallas County WDA,12.0,03/11/2020,05/01/2020,Dallas
Texas,,,,,,,,04/01/2020,Zachary Industrial-LyndellBaseII,Harris,Gulf Coast WDA,288.0,03/30/2020,04/09/2020,Houston
Texas,,,,,,,,04/01/2020,Hampton Inn-Frisco,Collin,North Central Texas WDA,11.0,04/01/2020,04/21/2020,Frisco
Texas,,,,,,,,04/01/2020,Courtyard by Marriott Austin,Travis,Capital Area WDA,53.0,04/01/2020,04/21/2020,Pflugerville
Texas,,,,,,,,04/01/2020,Hyatt Place-Cedar Park,Williamson,Rural Capital WDA,12.0,04/01/2020,04/21/2020,Cedar Park
Texas,,,,,,,,04/01/2020,Avis Car Rental-Cedar Springs,Dallas,Dallas County WDA,33.0,03/13/2020,05/01/2020,Dallas
Texas,,,,,,,,04/01/2020,Avis Car Rental-3850 26th,Dallas,Dallas County WDA,8.0,03/11/2020,05/01/2020,Dallas
Texas,,,,,,,,03/31/2020,Fixbrewhouse-El Paso,El Paso,Borderplexjobs WDA,127.0,05/01/2020,04/08/2020,El Paso
Texas,,,,,,,,03/31/2020,El Gallo,Harris,Gulf Coast WDA,10.0,03/31/2020,04/07/2020,Houston
Texas,,,,,,,,03/31/2020,Guadalajara Hacienda-,Montgomery,Gulf Coast WDA,42.0,03/31/2020,04/07/2020,Shenandoah
Texas,,,,,,,,03/31/2020,HMS Host-Lubbock Airport,Lubbock,South Plains WDA,15.0,03/19/2020,04/27/2020,Lubbock
Texas,,,,,,,,03/31/2020,HMS Host-El Paso Airport,El Paso,Borderplexjobs WDA,70.0,03/19/2020,04/27/2020,El Paso
Texas,,,,,,,,03/31/2020,Pioneer Frozen Foods-Dallas,Dallas,Dallas County WDA,70.0,04/03/2020,04/09/2020,Dallas
Texas,,,,,,,,03/31/2020,Guadalajara Hacienda,Fort Bend,Gulf Coast WDA,37.0,03/31/2020,04/07/2020,Katy
Texas,,,,,,,,03/31/2020,InterContinental-Stephen F Austin,Travis,Capital Area WDA,99.0,04/03/2020,04/21/2020,Austin
Texas,,,,,,,,03/31/2020,Guadalajara Grille,Harris,Gulf Coast WDA,36.0,03/31/2020,04/07/2020,Houston
Texas,,,,,,,,03/31/2020,Step Energy Services-Floresville,Wilson,Alamo WDA,69.0,04/16/2020,04/13/2020,Floresville
Texas,,,,,,,,03/31/2020,Justin Brands-Ft Worth,Tarrant,Tarrant County WDA,10.0,03/20/2020,04/14/2020,Fort Worth
Texas,,,,,,,,03/31/2020,Fixbrewhouse-San Antonio,Bexar,Alamo WDA,164.0,05/01/2020,04/08/2020,San Antonio
Texas,,,,,,,,03/31/2020,Justin Brands-Childress,Childress,Panhandle WDA,7.0,03/20/2020,04/14/2020,Childress
Texas,,,,,,,,03/31/2020,Great American Products Ltd.,Comal,Alamo WDA,1.0,03/25/2020,03/31/2020,New Braunfels
Texas,,,,,,,,03/31/2020,Justin Brands-El Paso,El Paso,Borderplexjobs WDA,179.0,03/20/2020,04/14/2020,El Paso
Texas,,,,,,,,03/31/2020,Holiday Inn-Riverwalk,Bexar,Alamo WDA,61.0,04/03/2020,04/01/2020,San Antonio
Texas,,,,,,,,03/31/2020,Guadalajara Del Centro,Harris,Gulf Coast WDA,71.0,04/01/2020,04/07/2020,Houston
Texas,,,,,,,,03/31/2020,SiteMinder Hospitality-Colonnade,Dallas,Dallas County WDA,36.0,03/31/2020,04/14/2020,Addison
Texas,,,,,,,,03/31/2020,Drive Time,Johnson,Tarrant County WDA,108.0,03/30/2020,03/31/2020,Ft. Worth
Texas,,,,,,,,03/31/2020,"Flixbrewhouse-Cinema Breweries,Inc.",Williamson,Rural Capital WDA,168.0,05/01/2020,04/08/2020,Round Rock
Texas,,,,,,,,03/31/2020,Fixbrewhouse-Frisco,Collin,North Central Texas WDA,137.0,05/01/2020,04/08/2020,Frisco
Texas,,,,,,,,03/31/2020,"uShip, Inc.",Travis,Capital Area WDA,65.0,04/09/2020,04/06/2020,Austin
Texas,,,,,,,,03/31/2020,Justin Brands-N. Desert,El Paso,Borderplexjobs WDA,5.0,03/20/2020,04/14/2020,El Paso
Texas,,,,,,,,03/31/2020,Justin Brands--Gateway W,El Paso,Borderplexjobs WDA,6.0,03/16/2020,04/14/2020,El Paso
Texas,,,,,,,,03/31/2020,Justin Brands-1756 Gateway,El Paso,Borderplexjobs WDA,6.0,03/20/2020,04/14/2020,El Paso
Texas,,,,,,,,03/31/2020,Justin Brands-7100 Gateway E,El Paso,Borderplexjobs WDA,6.0,03/20/2020,04/14/2020,El Paso
Texas,,,,,,,,03/31/2020,"DynaEnergetics US, Inc.",Hill,Heart of Texas WDA,85.0,03/31/2020,04/15/2020,Blum
Texas,,,,,,,,03/30/2020,Sport Clips - FM620,Travis,Capital Area WDA,6.0,03/28/2020,04/13/2020,Austin
Texas,,,,,,,,03/30/2020,Sport Clips - Trimmier Rd,Bell,Central Texas WDA,10.0,03/28/2020,04/13/2020,Killeen
Texas,,,,,,,,03/30/2020,Sport Clips - Hwy 190,Coryell,Central Texas WDA,9.0,03/28/2020,04/13/2020,Copperas Cove
Texas,,,,,,,,03/30/2020,Sport Clips - Town Center,Travis,Capital Area WDA,12.0,03/28/2020,04/13/2020,Pflugerville
